country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,Surgipharm,ALLSTAR PEN,ALLSTAR MEDSU PEN1 XE,516219
BF,LABOREX,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,UBIPHARM,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,DPBF,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,TEDIS,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,LABOREX BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,LABOREX PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,SEP BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,SEP PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,UBI BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,UBI PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,LABOREX,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,SGIP,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,SODIPH,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,LABOREX,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,UBIPHARM,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,DPBF,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,TEDIS,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,LABOREX BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,LABOREX PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,SEP BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,SEP PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,UBI BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,UBI PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,LABOREX,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,SGIP,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,SODIPH,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,LABOREX,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,UBIPHARM,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,DPBF,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,TEDIS,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,LABOREX BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,LABOREX PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
